//
// The format of this file is as follows:
// internal_name public_name level disabled
//
// DO NOT modify the internal name!
//
QUOTE QUOTE 1002 1
DIE DIE 1000 1
DISABLE DISABLE 1000 1
ENABLE ENABLE 1000 1
RESTART RESTART 1000 1
CHLEVEL CHLEVEL 900 1
CHNAME CHNAME 900 1
SET SET 900 1
WRITE WRITE 900 1
ADDUSER ADDUSER 800 1
MODUSER MODUSER 800 1
REMUSER REMUSER 800 1
BROADCAST BROADCAST 700 1
CLONE CLONE 700 1
CLONEACT CLONEACT 700 1
CLONEJOIN CLONEJOIN 700 1
CLONEPART CLONEPART 700 1
CLONEQUIT CLONEQUIT 700 1
CLONESAY CLONESAY 700 1
REOP REOP 700 1
SETTIME SETTIME 700 1
JUPE JUPE 500 1
REFRESHG REFRESHG 500 1
UNJUPE UNJUPE 500 1
CLEARCHAN CLEARCHAN 300 1
DEOPALL DEOPALL 300 1
DEVOICEALL DEVOICEALL 300 1
OPALL OPALL 300 1
VOICEALL VOICEALL 300 1
BAN BAN 200 1
GLINE GLINE 200 1
INVITE INVITE 200 1
MODE MODE 200 1
REMGLINE REMGLINE 200 1
UNBAN UNBAN 200 1
DEOP DEOP 100 1
DEVOICE DEVOICE 100 1
KICK KICK 100 1
OP OP 100 1
VOICE VOICE 100 1
CHANINFO CHANINFO 0 1
CHANLIST CHANLIST 0 1
HELP HELP 0 1
LOGIN LOGIN 0 1
LOGOUT LOGOUT 0 1
MAP MAP 0 1
OPERINFO OPERINFO 0 1
OPERMSG OPERMSG 0 1
SCAN SCAN 0 1
SERVINFO SERVINFO 0 1
SHOW SHOW 0 1
SHOWCOMMANDS SHOWCOMMANDS 0 1
TRANSLATE TRANSLATE 0 1
UPTIME UPTIME 0 1
WHOIS WHOIS 0 1
WHOISON WHOISON 0 1
PING PING -1 1
VERSION VERSION -1 1
GENDER GENDER -1 1
